종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2021.06),추정PERlEPS,PBRlBPS (2021.06),배당수익률,동일업종 PER,동일업종 등락률,PERlEPS(2021.09),PBRlBPS (2021.09),배당수익률l2020.12,PERlEPS(2020.12),PBRlBPS (2020.12),PERlEPS(2021.08),PBRlBPS (2021.08),배당수익률l2020.11
한독,22600.0,50.0,-0.22%,22500.0,22550.0,14295.0,321.0,24047.0,2021-11-25,한독,002390,,,,,,,,,,,,,,,,,"3,111  억원",코스피 489위,13763533,500원  l  1주,13763533,347075,2.52%,"4.00매수  l  45,000","36,800  l  22,400",,N/A  l  N/A,,,86.54배,+0.13%,"20.73배  l  1,090원","0.78배  l  28,845원",1.33%,,,,,
대화제약 *,9280.0,20.0,-0.22%,9240.0,9250.0,12309.0,114.0,31352.0,2021-11-25,대화제약,067080,,,,,,,,,,,,,,,,,"1,728  억원",코스닥 599위,18616650,500원  l  1주,18616650,640294,3.44%,N/A  l  N/A,"20,000  l  9,200",,N/A  l  N/A,,,86.54배,+0.10%,49.36배  l  188원,"1.91배  l  4,847원",1.62%,,,,,
경보제약,9010.0,20.0,-0.22%,8970.0,9010.0,22114.0,198.0,33885.0,2021-11-25,경보제약,214390,,,,,,,,,,,,,,,,,"2,154  억원",코스피 604위,23906860,500원  l  1주,23906860,217499,0.91%,N/A  l  N/A,"22,600  l  8,970",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -170원,"1.44배  l  6,246원",1.11%,,,,,
바이오플러스 *,22100.0,50.0,-0.23%,22100.0,22250.0,72811.0,1633.0,57291.0,2021-11-25,바이오플러스,099430,,,,,,,,,,,,,,,,,"3,182  억원",코스닥 294위,14363528,500원  l  1주,14363528,16371,0.11%,N/A  l  N/A,"43,000  l  21,700",,N/A  l  N/A,,,86.54배,+0.11%,26.59배  l  833원,"3.88배  l  5,706원",,,,,,
한올바이오파마,20200.0,50.0,-0.25%,20150.0,20200.0,78384.0,1579.0,228500.0,2021-11-25,한올바이오파마,009420,272.0,22.0,,8.07,,,,,,52.0,391.8,3518.0,5.76,,,,1조  526  억원,코스피 227위,52240638,500원  l  1주,52240638,2877662,5.51%,"4.33매수  l  35,000","40,600  l  18,700",,84.00배  l  241원,,,86.54배,+0.10%,65.21배  l  309원,"6.30배  l  3,200원",,,,,,
삼아제약 *,18600.0,50.0,-0.27%,18500.0,18550.0,10107.0,187.0,30991.0,2021-11-25,삼아제약,009300,,,,,,,,,,,,,,,,,"1,185  억원",코스닥 829위,6370000,"1,000원  l  1주",6370000,276715,4.34%,N/A  l  N/A,"27,100  l  14,300",N/A  l  -175원,N/A  l  N/A,"0.68배  l  27,352원",,86.54배,+0.10%,,,1.61%,,,,,
광동제약,7130.0,20.0,-0.28%,7120.0,7130.0,50431.0,360.0,207767.0,2021-11-25,광동제약,009290,,,,,,,,,,,,,,,,,"3,738  억원",코스피 424위,52420851,"1,000원  l  1주",52420851,10933324,20.86%,N/A  l  N/A,"11,600  l  7,100",,N/A  l  N/A,,,86.54배,+0.11%,35.12배  l  203원,"0.60배  l  11,966원",1.40%,,,,,
JW중외제약우,33700.0,100.0,-0.30%,33700.0,33950.0,30.0,1.0,142.0,2021-11-25,JW중외제약우,001065,,,,,,,,,,,,,,,,,60  억원,코스피 1640위,177486,"2,500원  l  1주",177486,271,0.15%,N/A  l  N/A,"72,800  l  28,200",,N/A  l  N/A,,,86.54배,+0.10%,N/A  l  -52원,"3.69배  l  9,135원",1.03%,,,,,
에스텍파마 *,9540.0,30.0,-0.31%,9520.0,9540.0,14340.0,137.0,22334.0,2021-11-25,에스텍파마,041910,,,,,,,,,,,,,,,,,"1,135  억원",코스닥 856위,11898263,500원  l  1주,11898263,197835,1.66%,N/A  l  N/A,"14,100  l  9,450",,N/A  l  N/A,,,86.54배,+0.10%,12.65배  l  754원,"0.95배  l  10,045원",1.05%,,,,,
유한양행,59500.0,200.0,-0.34%,59300.0,59400.0,77180.0,4589.0,113404.0,2021-11-25,유한양행,000100,4614.0,236.0,282.0,5.12,6.11,,,,,402.0,148.53,29534.0,2.02,,,,"4조  1,704  억원",코스피 80위,69972959,"1,000원  l  1주",69972959,12415426,17.74%,"4.00매수  l  87,091","81,000  l  57,300",,"41.00배  l  1,450원",,,86.54배,+0.11%,"43.22배  l  1,379원","2.05배  l  29,124원",0.64%,,,,,
