종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
333940,2,ARIRANG KS로우볼가중TR,13430,5,-40,-0.3,13418.0,-0.2592,15,0,60,국내 업종/테마,ARIRANG,False,False,False
333950,2,ARIRANG KS로우사이즈가중TR,17040,5,-55,-0.32,17040.0,1.5444,15,0,60,국내 업종/테마,ARIRANG,False,False,False
307520,2,TIGER 지주회사,10800,2,50,0.47,10799.0,-9.321,693,7,59,국내 업종/테마,TIGER,False,False,False
176710,6,파워 중기국고채,98625,3,0,0.0,98618.0,-1.3691,0,0,59,채권,파워,False,False,False
215620,2,HK S&P코리아로우볼,12145,3,0,0.0,12187.0,1.0399,0,0,58,국내 업종/테마,HK,False,False,False
174350,2,TIGER 로우볼,12135,2,25,0.21,12131.0,1.5428,177992,2158,58,국내 업종/테마,TIGER,False,False,False
228820,1,TIGER KTOP30,10590,5,-65,-0.61,10608.0,-5.2468,279,2,58,국내 시장지수,TIGER,False,False,False
267440,4,KBSTAR 미국장기국채선물(H),11580,5,-25,-0.22,,-2.2326,20,0,58,해외 주식,KBSTAR,False,False,True
290080,2,KBSTAR 200고배당커버드콜ATM,8270,2,60,0.73,8258.0,2.0509,201,1,58,국내 업종/테마,KBSTAR,False,False,False
139310,5,TIGER 금속선물(H),7130,5,-60,-0.83,,6.4396,2512,17,57,원자재,TIGER,False,False,True
220130,4,SOL 중국본토 중소형 CSI500(합성 H),6240,5,-30,-0.48,,6.2711,215,1,56,해외 주식,SOL,False,False,True
301410,3,ARIRANG 코스닥150선물인버스,6580,5,-10,-0.15,6573.0,-5.5874,2036,13,56,국내 파생,ARIRANG,True,False,False
105010,4,TIGER 라틴35,3235,2,40,1.25,,-10.0,39016,125,55,해외 주식,TIGER,False,False,False
346000,6,HANARO KAP초장기국고채,44465,5,-140,-0.31,44581.0,-6.1304,6,0,54,채권,HANARO,False,False,False
321410,7,KODEX 멀티에셋하이인컴(H),10845,5,-50,-0.46,,-0.5023,65,0,54,기타,KODEX,False,False,True
098560,2,TIGER 방송통신,9750,2,40,0.41,9763.0,-2.5101,885,8,53,국내 업종/테마,TIGER,False,False,False
292770,6,KODEX 국채선물3년인버스,50530,3,0,0.0,50521.0,1.7007,0,0,52,채권,KODEX,True,False,False
299080,6,KINDEX 국채선물3년인버스,101120,3,0,0.0,101106.0,1.7508,0,0,51,채권,KINDEX,True,False,False
295820,1,ARIRANG 200동일가중,11125,5,-50,-0.45,11130.0,-2.4018,8,0,50,국내 시장지수,ARIRANG,False,False,False
291680,4,KBSTAR 차이나H선물인버스(H),11070,2,40,0.36,,-1.2534,24,0,50,해외 주식,KBSTAR,True,False,True
371870,4,KINDEX 차이나항셍테크,8235,3,0,0.0,,5.1052,1952,16,49,해외 주식,KINDEX,False,False,False
261270,7,KODEX 미국달러선물인버스,9630,3,0,0.0,9640.0,-1.1801,5246,50,49,기타,KODEX,True,False,False
299070,6,KINDEX 국채선물10년인버스,98130,5,-125,-0.13,97920.0,4.6156,2,0,49,채권,KINDEX,True,False,False
253280,2,KBSTAR 헬스케어,13785,5,-35,-0.25,13857.0,-20.6887,8239,114,48,국내 업종/테마,KBSTAR,False,False,False
275750,1,KBSTAR 코스닥150선물인버스,4370,5,-20,-0.46,4380.0,-5.6929,9673,42,48,국내 시장지수,KBSTAR,True,False,False
